HP;Pavilion x360 14 -cd0004nv Laptop;Core i3 8130U,4 GB,1 TB,Intel HD Graphics620
Dell;XPS 9560 -2962 (8G/256G/Pro) Laptop;Core i7 7700HQ,8 GB,256 GB,GTX 1050 4GB
Lenovo;Yoga 920 Glass Laptop;Core i7 8550U,16 GB,512 GB,HD Graphics
Apple;256 Silv MacBook Air Retina Laptop;Core i5 8210Y,8 GB,256 GB,Intel HD
Turbo-X;INNO U5 Laptop;Core i5 6200U,4 GB,128 GB,Intel HD Graphics 520
Turbo-X;Inno U5 MTS Laptop;Core i5 7200U,8 GB,240 GB,Intel HD Graphics 620
Turbo-X;Inno U7 MTS Laptop;Core i7 7500U,8 GB,240 GB,Intel HD Graphics 620
Dell;Inspiron 15 3576-2555 Laptop;Core i5 7200U,8 GB,1 TB,Radeon 520 2 GB
HP;Pavilion 17- ab300nv Laptop;Core i7 7500U,8 GB,128GB SSD + 1TB HDD,GTX 1050 4 GB
Lenovo;YOGA 720-12IKB (i7/UMA) Laptop;Core i7 7500U,8 GB,512 GB,HD Graphics
HP;ENVY 13 - ad007nv Laptop;Core i5 7200U,4 GB,256 GB,HD Graphics
Dell;Inspiron 5379 2in1 Laptop;Core i7 8550U,8 GB,256 GB,Intel HD
Dell;XPS 13 9360 (i7/Pro) Laptop;Core i7 8550U,8 GB,256 GB,Intel HD Graphics 620
HP;15 - bs033nv Laptop;Core i5 7200U,6 GB,256 GB,Radeon 520 2 GB
Dell;Inspiron 5570 (i5/256G) Laptop;Core i5 8250U,8 GB,256 GB,Radeon 530 4 GB
Microsoft;Surface Go Laptop;Pentium Processor 4415Y,8 GB,128 GB,Intel HD Graphics
Toshiba;Portege R30-A-134 Laptop;Core i7 4600M,8 GB,256 GB,HD 4600
HP;Spectre 360 13-ae002nv Laptop;Core i7 8550U,8 GB,256 GB,HD Graphics
HP;Envy x360 13 -ag0001nv Laptop;Ryzen 3 2300U,4 GB,128 GB,VEGA 3
Dell;XPS 13 9360-8359 Laptop;Core i5 8250U,8 GB,256 GB,HD Graphics
Toshiba;Satellite Pro R50-C-15X Laptop;Core i3 6006U,4 GB,500 GB,HD Graphics
