Model;Specs;Description;Price;rating;category;tags;withdrawn;rated
;159;2;phone;Technology;0;1
HUAWEI Mate 10 lite 4G Smartphone Χρυσό;screen:5.9" IPS,cpu:8πύρηνος Kirin 659,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:HUAWEI;Με οθόνη 5,9” Full HD ανάλυσης, επεξεργαστή 8 πυρήνων, 4GB μνήμη RAM, 64GB αποθηκευτικό χώρο, μπαταρία 3.340mAh και 4 κάμερες το έχεις πάντα μαζί σου για κάθε εργασία και μοναδικές selfie;249;5;phone;Technology;0;1
honor 7S DS 4G Smartphone Χρυσό;screen:5.45" TFT,cpu:4πύρηνος MT6739,Μνήμη (RAM/ROM):2 GB / 16 GB,brand:honor;Έρχεται με οθόνη 5,45" και ανάλυση HD+, προσφέρει κρυστάλλινο ήχο και σε θορυβώδες περιβάλλον, έχει μεγάλη μπαταρία, 4πυρηνο επεξεργαστή, πίσω κάμερα 13MP με PDAF και τρέχει Android 8.1;139;4;phone;Technology;0;1
Samsung Galaxy A7 4G+ Smartphone Μαύρο;screen:6" FHD+,cpu:8πύρηνος Cortex-A53,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:Samsung;;369;2;phone;Technology;0;1
Nokia 3.1 DS 4G Smartphone Μαύρο;screen:5.2" IPS,cpu:8πύρηνος,Μνήμη (RAM/ROM):2 GB / 16 GB,brand:Nokia;Με οθόνη 5,2", ξεχωριστό σχεδιασμό με premium αίσθηση, 8πυρηνο επεξεργαστή & 2GB μνήμη RAM, κάμερες 13MP πίσω, 8MP εμπρός και Android One;149;3;phone;Technology;0;1
HUAWEI Mate 20 Lite 4G+ Smartphone Χρυσό;screen:6.3" LTPS,cpu:8πύρηνος Kirin 710,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:HUAWEI;Επιδόσεις εκτός των συνηθισμένων, με 8πύρηνο επεξεργαστή Kirin 710, οθόνη FullView 6,3” FHD+ και AI κάμερες με τεχνολογία HDR για εντυπωσιακές λήψεις;399;1;phone;Technology;0;1
honor 7S DS 4G Smartphone Μπλε;screen:5.45" TFT,cpu:4πύρηνος MT6739,Μνήμη (RAM/ROM):2 GB / 16 GB,brand:honor;Έρχεται με οθόνη 5,45" και ανάλυση HD+, προσφέρει κρυστάλλινο ήχο και σε θορυβώδες περιβάλλον, έχει μεγάλη μπαταρία, 4πυρηνο επεξεργαστή, πίσω κάμερα 13MP με PDAF και τρέχει Android 8.1;139;4;phone;Technology;0;1
Xiaomi Redmi 6A 16GB 4G Smartphone Μαύρο;screen:5.45" HD+ IPS,cpu:4πύρηνος Helio A22,Μνήμη (RAM/ROM):2 GB / 16 GB,brand:Xiaomi;Με 4πύρηνο επεξεργαστή Helio A22, 2GB μνήμη RAM, 16GB αποθ. χώρο, οθόνη 5,45" με HD+ ανάλυση και αναγνώριση προσώπου με τεχνολογία AI;139;1;phone;Technology;0;1
Samsung Galaxy A6 DS Lavender 4G Smartphone;screen:5.6" Super Amoled,cpu:8πύρηνος Exynos 7870,Μνήμη (RAM/ROM):3 GB / 32 GB,brand:Samsung;;289;0;phone;Technology;0;1
Xiaomi Mi A2 Lite 64GB 4G Smartphone Μαύρο;screen:5.84" IPS LCD,cpu:8πύρηνος Snapdragon 625,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:Xiaomi;Full Screen FHD+ οθόνη, AI Dual Camera, 8πύρηνος επεξεργαστής Qualcomm, μεταλλική σχεδίαση, Dual nano-SIM + microSD και αυτονομία 2 ημερών;219;;;;;
Xiaomi Redmi Note 5 32G 4G Smartphone Μαύρο;screen:5.99" IPS,cpu:8πύρηνος Snapdragon 636,Μνήμη (RAM/ROM):3 GB / 32 GB,brand:Xiaomi;Μεγάλη οθόνη 5,99 ιντσών, επεξεργαστής Snapdragon 636 με 3GB μνήμη RAM, διπλή πίσω κάμερα 12MP+5MP, 32GB αποθηκευτικού χώρου & μπαταρία 4.000mAh
;199;;;;;
Turbo-X ε4 3G Smartphone Μαύρο;screen:4" WGA,cpu:4πύρηνος MTK6580M,Μνήμη (RAM/ROM):1 GB / 8 GB,brand:Turbo-X;Με 4πύρηνο επεξεργαστή, 1GB RAM, υποστήριξη Dual microSIM, δύο κάμερες, άνετη οθόνη 4” και Android Go δίνει νέες διαστάσεις στην επικοινωνία;49,9;;;;;
Apple iPhone 7 32GB 4G+ Smartphone Silver;screen:4.7" Retina HD 3D Touch,cpu:4πύρηνος A10,Μνήμη (RAM/ROM):2 GB / 32 GB,brand:Apple;Νέα συστήματα κάμερας, στερεοφωνικά ηχεία, πιο φωτεινή οθόνη και η μεγαλύτερη διάρκεια ζωής της μπαταρίας που είχε ποτέ ένα iPhone – όλα είναι εδώ, στο αδιάβροχο iPhone7;569;;;;;
honor 7A DS 32GB 4G Smartphone Μαύρο;screen:5.7" TFT,cpu:8πύρηνος Snapdragon,Μνήμη (RAM/ROM):3 GB / 32 GB,brand:honor;Με μεγάλη οθόνη FullView 5,7", 3GB RAM, 32GB χώρο, λειτουργία αναγνώρισης προσώπου, 8πυρηνο επεξεργαστή, κάμερα 13MP & selfie 8MP με selfie toning light, Dual Bluetooth και δυνατά ηχεία;179;;;;;
